A,B,result
Linear programming,Computer multitasking,0
SQL,Algorithm,1
Calculus,"Best, worst and average case",0
Regular language,Design pattern (computer science),0
Cryptographic hash function,Algorithm,1
Digital signature,Computability,1
Programming paradigm,Linear system,0
Internet,Graph (mathematics),1
Polymorphism (computer science),Automata theory,1
Automated planning and scheduling,Interpolation,0
Distributed algorithms,Algorithm,1
Computational chemistry,Graph theory,1
Cryptographic hash function,Mathematics,1
Linear system,Geometry,0
Interaction design,ML (programming language),0
Logic programming,Discrete mathematics,1
SQL,Computing,1
Queue (data structure),Parsing,0
Database,PageRank,0
Pushdown automata,Automata theory,1
Program optimization,Iterative method,1
Prolog,Computer,1
Public-key cryptography,Pattern matching,0
Database design,Recursion (computer science),0
P versus NP problem,Graph theory,1
Finite difference,Integer,1
Cryptographic hash function,Data (computing),0
Lock (computer science),Random variable,0
Wavelet,Cloud computing,0
Computational problem,Wireless sensor network,0
Machine translation,Foundations of mathematics,1
Parsing,Algorithm design,1
Assembly language,Digital electronics,1
Theoretical computer science,Signal processing,0
Functional programming,Automata theory,1
Encryption,Central processing unit,0
Malware,Lexical analysis,0
Number theory,Packet switching,0
Fixed point (mathematics),MATLAB,0
Theoretical computer science,Unsupervised learning,0
Expected value,Natural language processing,0
Wavelet,Formal grammar,0
Calculus of variations,Programming style,0
Garbage collection (computer science),Discrete mathematics,1
Cryptographic hash function,Authentication,1
Functional programming,Computational geometry,0
Computational problem,Visualization (computer graphics),0
Interactivity,Performance tuning,0
Geometric modeling,Computational chemistry,0
Cryptography,Mathematical induction,1
Statistics,Digital signature,0
Finite element method,Mechanical engineering,0
Quantum cryptography,Operating system,0
Central processing unit,Digital signature,0
Network security,Formal language,0
Feature extraction,Perl,0
Matrix (mathematics),Ordinary differential equation,0
Computational geometry,Integer,1
Quantum mechanics,First-order logic,0
Halting problem,Halting problem,0
Machine translation,Theoretical computer science,1
Big data,Computer,1
Symmetric multiprocessing,Syntax,0
C++,Digital electronics,1
Mathematical induction,Genetic algorithm,0
Linear algebra,Formal methods,0
Regular language,Newton's method,0
Combinational logic,MATLAB,0
Machine learning,Computational problem,1
Iterative method,Approximation,1
Symbol table,Bioinformatics,0
Automated planning and scheduling,Computer science,1
Computational chemistry,Computer science,1
Computer vision,Computational complexity theory,1
Undecidable problem,Mathematical proof,1
Security,Foundations of mathematics,0
Context-free grammar,Data structure,1
Theory of computation,Formal language,0
Finite set,Part-of-speech tagging,0
Distributed algorithms,Programming paradigm,0
Linear programming,3D computer graphics,0
Knowledge representation and reasoning,Graph theory,1
Memory hierarchy,Iterative method,0
Round-off error,Relational model,0
Neural network,Abstraction (computer science),1
Autonomous robot,P versus NP problem,0
Algorithm design,Software framework,0
Continuous function,Digital signature,0
Network security,Computer,1
Motion capture,Python (programming language),0
High-level programming language,Virtual reality,0
Finite-state machine,Recommender system,0
Recurrence relation,Computer science,1
Packet switching,Computer network,1
Natural language processing,Cloud computing,0
Martingale (probability theory),Multi-core processor,0
Mathematical proof,Robot,0
Performance tuning,Randomization,0
Robot,Numerical analysis,1
Poisson distribution,Logic programming,0
Python (programming language),Bayesian network,0
Expert system,Algorithm,1
Discrete mathematics,Finite element method,0
Conditional probability,Programmer,0
Syntax,Congestion control,0
Genetic algorithm,Algorithm,1
Program optimization,Processor register,0
Cache coherence,NP (complexity),0
Higher-order function,OSI model,0
Automated planning and scheduling,Computational complexity theory,1
Computer animation,Graphics,1
Software development,Finite-state machine,0
P versus NP problem,Mathematics,1
NP-complete,Mathematics,1
Mutual exclusion,Wireless sensor network,0
Internet,Wavelet,0
Algorithm,Network security,0
Robot,Computational science,1
Data mining,Java (programming language),0
System call,Exponential family,0
Random walk,Discrete mathematics,1
Message passing,Mathematics,1
NP (complexity),Turing machine,1
Modular programming,Variable (computer science),1
Analysis of algorithms,Asymptotic analysis,1
Unsupervised learning,Computational science,1
Communication,Cryptography,0
Vector processor,Recursively enumerable set,0
Malware,Imperative programming,0
Complexity,Foundations of mathematics,1
Analysis of algorithms,Wavelet,0
Robot,String searching algorithm,0
Cache coherence,String searching algorithm,0
Computational geometry,Matrix (mathematics),0
Sparse matrix,Semantics,0
Database normalization,Computer science,1
High-level programming language,Discrete mathematics,1
Bayesian network,Data (computing),0
First-order logic,Complexity,0
Computer graphics,Computer programming,1
Martingale (probability theory),Cloud computing,0
Hidden line removal,Computability,1
Computer software,Computer,1
HTML,Data,0
Linear algebra,Interaction design,0
Distributed computing,Python (programming language),0
Routing,Data (computing),1
Processor register,hypothesis testing,0
Newton's method,Arithmetic,1
JavaScript,Economics,0
Computational chemistry,Algorithm,1
Data,Automata theory,0
Scope (computer science),Newton's method,0
Data,Exponential family,0
Analysis of algorithms,Database,0
Quantum mechanics,Uncertainty,1
Database management system,Foundations of mathematics,1
Statistical inference,Programmer,0
Design pattern (computer science),Relational algebra,0
Web search engine,Cryptanalysis,0
Question answering,Algorithm,1
Large deviations theory,Foundations of mathematics,0
Pipeline (computing),Pattern recognition,0
Logic programming,Database,0
Data mining,Operating system,1
Analysis of algorithms,Type system,0
Calculus,Arithmetic,1
Approximation,Poisson distribution,0
Concurrent computing,Foundations of mathematics,0
Asymptotic analysis,Undecidable problem,0
Automated planning and scheduling,Logic,1
Software development,Software engineering,1
Speech recognition,Index (database),0
Cryptography,Computer programming,0
Estimation theory,Prediction,0
Fast Fourier transform,Combinatorics,1
Logic programming,Formal language,0
Application software,Discrete mathematics,0
Superscalar,Concurrent computing,0
OSI model,Knowledge representation and reasoning,0
Fast Fourier transform,Algorithm,1
Information security,Programming style,0
Martingale (probability theory),Modular programming,0
Sparse matrix,Syntax,0
Program optimization,Amortized analysis,0
Concurrency (computer science),Graph theory,1
Cryptography,Stack (data structure),0
Machine learning,Numerical analysis,1
Exponential family,Graph theory,0
Multiplication,Programming style,0
Database,Computer programming,1
Pattern matching,Database design,0
Program analysis,Kinematics,0
Volume rendering,Personal computer,1
Image,Application programming interface,0
SQL,Programming language,1
Motion planning,Computer science,1
Polynomial,Amortized analysis,0
Malware,Symmetric multiprocessing,0
Concurrency (computer science),Number theory,1
Perl,Computer science,1
Firewall (computing),Type system,0
Exponential family,Random walk,0
Turing machine,Performance tuning,0
Algorithm,Large deviations theory,0
Routing,Suffix tree,0
Question answering,B-tree,0
Complexity,Computation,1
Programming style,Rendering (computer graphics),0
Artificial intelligence,Computational problem,1
P versus NP problem,Logic,1
Relational database,Computer science,1
Data structure,Data type,1
Speech recognition,Recommender system,0
Parallel algorithm,Time complexity,1
Programmer,MATLAB,0
Approximation algorithm,Computing,1
Computer graphics,Personal computer,1
Reason,ML (programming language),0
Scalability,Inheritance (object-oriented programming),0
Expert system,Computer programming,1
Support vector machine,Algorithm,1
Database transaction,Finite difference,0
Ray tracing (graphics),Decision theory,0
Scope (computer science),Computational problem,0
Natural language processing,Reason,1
High-level programming language,Number theory,1
Vector processor,Vector processor,0
Lock (computer science),Sentiment analysis,0
Theory of computation,Programming paradigm,0
Thread (computer science),Routing,0
Computer science,Computer graphics,0
Tensor,Spanning tree,0
Pattern recognition,Randomization,0
Denotational semantics,Computer science,1
Computer network,Halting problem,0
Profiling (computer programming),Data structure,1
Complexity,MATLAB,0
Big data,Foundations of mathematics,1
Social network,Number theory,0
Gradient descent,Volume rendering,0
Turing machine,Modular arithmetic,0
GPU,Parallel computing,1
Database,Mathematical model,0
Rendering (computer graphics),Algorithm design,1
Shortest path problem,NP-complete,1
Mutual exclusion,Polynomial,0
Routing,Kernel (computing),0
Software testing,Data structure,1
Feature extraction,System programming,0
Combinatorics,Mathematics,1
Profiling (computer programming),Computational science,1
String searching algorithm,Iterative method,1
3D modeling,Logic,1
Support vector machine,Information theory,0
Context-free grammar,Computer,1
Shared memory,Combinatorics,0
Halting problem,Kalman filter,0
Partial differential equation,Time complexity,0
Design of experiments,Formal grammar,0
Transaction processing,Computing,1
Public-key cryptography,Algorithm,1
Query language,Logic,1
